"","gene_name","condition","RNA_log2FC","Ribo_log2FC","RiboRNA_log2FC","Protein_log2FC"
"1","UPF1","time14h",0.425236043357623,0.485647665099874,0.116563525154372,-1.90459466369944
"2","UPF2","time14h",1.07156503999114,0.816918343929215,-0.179761922790818,-0.0904658168030667
"3","UPF3B","time14h",0.41038735665843,0.47460651724,0.145380388494852,-1.19153841821289
"4","SMG1","time14h",1.81345826220726,1.04938835587555,-0.677436592823454,0.206870264832035
"5","SMG5","time14h",1.06912271074298,0.501077542731805,-0.554488477649272,NA
"6","SMG6","time14h",0.736709103247969,0.523964592798868,-0.157104855576072,-4.71322762553239
"7","SMG7","time14h",1.03356663008985,0.628469281621032,-0.337438732190567,NA
"8","DCP1A","time14h",2.49859261711423,2.838811495799,0.394999690467891,0.305548833228459
"9","DCP2","time14h",3.09904037017488,3.80826029683176,0.767681602927972,NA
"10","XRN1","time14h",1.39895462278021,1.20852648073485,-0.124632858867626,-1.20530004452733
"11","RBM8A","time14h",0.656794952584059,0.67449839671886,0.095569740286396,0.059855871029255
"12","EIF4A3","time14h",2.05562721703917,2.20079123116371,0.207592608091609,0.79924794638948
"13","MAGOH","time14h",1.5397053862046,1.456095200309,-0.0215626886112928,NA
"14","CASC3","time14h",-2.09045465963512,-1.59365283684815,0.56203554013533,0.103703104822585
"15","GSPT1","time14h",-0.149852313944569,-0.395873345291325,-0.169647358143189,0.338980733817945
"16","GSPT2","time14h",0.520850072186018,0.824656629188564,0.370991833357782,-1.48084554016493
"17","ETF1","time14h",0.935935221810035,0.579469950407744,-0.284875582440259,0.387137121742349
